Serial Number,Error Type,Ungrammatical Statement,Standard English
1042,Modifiers Misplacement,The documentary focused on environmental issues narrated by a famous actor.,The documentary narrated by a famous actor focused on environmental issues.
1043,Modifiers Misplacement,The kittens were discovered under the porch by the family covered in mud.,The kittens covered in mud were discovered by the family under the porch.
1044,Modifiers Misplacement,Jennifer's book was criticized by the reviewers filled with errors.,Jennifer's book filled with errors was criticized by the reviewers.
1045,Modifiers Misplacement,The computer was used by the programmer loaded with new software.,The computer loaded with new software was used by the programmer.
1046,Modifiers Misplacement,The article was written by a talented writer exploring a controversial topic.,The article exploring a controversial topic was written by a talented writer.
1047,Modifiers Misplacement,The baby was carried by the mother wrapped in a soft blanket.,The baby wrapped in a soft blanket was carried by the mother.
1048,Modifiers Misplacement,I saw the dog running across the street wagging its tail.,I saw the dog wagging its tail running across the street.
1049,Modifiers Misplacement,She was cleaning her room listening to music.,She was cleaning her room while listening to music.
1050,Modifiers Misplacement,The soccer player was awarded the trophy for his outstanding performance filled with excitement.,The soccer player filled with excitement was awarded the trophy for his outstanding performance.
1051,Modifiers Misplacement,The suitcase was found by the traveler filled with clothes.,The suitcase filled with clothes was found by the traveler.
1052,Modifiers Misplacement,The research paper was submitted by the student containing several errors.,The research paper containing several errors was submitted by the student.
1053,Modifiers Misplacement,The package was opened by the recipient containing a surprise gift.,The package containing a surprise gift was opened by the recipient.
1054,Modifiers Misplacement,The cake was baked by the chef with a cherry on top.,The cake with a cherry on top was baked by the chef.
1055,Modifiers Misplacement,The play was directed by a renowned director with an unusual twist.,The play with an unusual twist was directed by a renowned director.
1056,Modifiers Misplacement,The flowers were planted by the gardener along the pathway blooming beautifully.,The flowers blooming beautifully were planted by the gardener along the pathway.
1057,Modifiers Misplacement,The presentation was delivered by the speaker with great enthusiasm.,The presentation with great enthusiasm was delivered by the speaker.
1058,Modifiers Misplacement,The movie is about a detective solving a mystery based on a true story.,"The movie, based on a true story, is about a detective solving a mystery."
1059,Modifiers Misplacement,The article was written by a journalist on the front page about political scandals.,The article about political scandals was written by a journalist on the front page.
1060,Modifiers Misplacement,The children were playing soccer in the park wearing uniforms.,The children wearing uniforms were playing soccer in the park.
1061,Modifiers Misplacement,The package was delivered to the wrong address by the courier by mistake.,The package was delivered by the courier to the wrong address by mistake.
1062,Modifiers Misplacement,The book was reviewed by the critic with a controversial opinion.,The book with a controversial opinion was reviewed by the critic.
1063,Modifiers Misplacement,The meeting was attended by the team discussing the new project.,The meeting discussing the new project was attended by the team.
1064,Modifiers Misplacement,The boy was scolded by the teacher for not doing his homework with tears in his eyes.,The boy with tears in his eyes was scolded by the teacher for not doing his homework.
1065,Modifiers Misplacement,The tree was cut down by the workers blocking the road.,The tree blocking the road was cut down by the workers.
1066,Modifiers Misplacement,The dress was worn by the actress at the awards ceremony with a long train.,The dress with a long train was worn by the actress at the awards ceremony.
1067,Modifiers Misplacement,The concert was performed by the orchestra with great energy.,The concert with great energy was performed by the orchestra.
1068,Modifiers Misplacement,The phone was found by the owner in the lost and found with a cracked screen.,The phone with a cracked screen was found by the owner in the lost and found.
1069,Modifiers Misplacement,The meal was prepared by the chef using fresh ingredients.,The meal using fresh ingredients was prepared by the chef.
1070,Modifiers Misplacement,The house was decorated by the designer with a modern touch.,The house with a modern touch was decorated by the designer.
1071,Modifiers Misplacement,The exhibition was visited by the tourists featuring local artists.,The exhibition featuring local artists was visited by the tourists.
1072,Modifiers Misplacement,The novel was written by the author set in medieval times.,The novel set in medieval times was written by the author.
1073,Modifiers Misplacement,The car was driven by the mechanic for a test with a strange noise.,The car with a strange noise was driven by the mechanic for a test.
1074,Modifiers Misplacement,The email was sent by the manager containing important updates.,The email containing important updates was sent by the manager.
1075,Modifiers Misplacement,The lesson was taught by the instructor with a unique approach.,The lesson with a unique approach was taught by the instructor.
1076,Modifiers Misplacement,The experiment was conducted by the scientist with great precision.,The experiment with great precision was conducted by the scientist.
1077,Modifiers Misplacement,The report was presented by the analyst including recent trends.,The report including recent trends was presented by the analyst.
1078,Modifiers Misplacement,The coffee was served by the barista with a beautiful design on top.,The coffee with a beautiful design on top was served by the barista.
1079,Modifiers Misplacement,The interview was conducted by the journalist with a famous celebrity.,The interview with a famous celebrity was conducted by the journalist.
1080,Agreement in Comparative and Superlative Forms,He run more faster than me.,He runs faster than me.
1081,Agreement in Comparative and Superlative Forms,This is the most tallest building I've ever seen.,This is the tallest building I've ever seen.
1082,Agreement in Comparative and Superlative Forms,She thinks she's the most funniest person in the room.,She thinks she's the funniest person in the room.
1083,Agreement in Comparative and Superlative Forms,My car is more better than yours.,My car is better than yours.
1084,Agreement in Comparative and Superlative Forms,Her cake was more tastier than mine.,Her cake was tastier than mine.
1085,Agreement in Comparative and Superlative Forms,He was more colder than his brother.,He was colder than his brother.
1086,Agreement in Comparative and Superlative Forms,This book is most interesting than that one.,This book is more interesting than that one.
1087,Agreement in Comparative and Superlative Forms,She is most beautiful than her sister.,She is more beautiful than her sister.
1088,Agreement in Comparative and Superlative Forms,This computer is most faster than the old one.,This computer is faster than the old one.
1089,Agreement in Comparative and Superlative Forms,The new employee is most efficient than the previous one.,The new employee is more efficient than the previous one.
1090,Agreement in Comparative and Superlative Forms,The river is most longer than the stream.,The river is longer than the stream.
1091,Agreement in Comparative and Superlative Forms,The movie was most worse than I expected.,The movie was worse than I expected.
1092,Agreement in Comparative and Superlative Forms,This wine is most more expensive than the other one.,This wine is more expensive than the other one.
1093,Agreement in Comparative and Superlative Forms,The weather today is most hotter than yesterday.,The weather today is hotter than yesterday.
1094,Agreement in Comparative and Superlative Forms,She has the most longest hair I've ever seen.,She has the longest hair I've ever seen.
1095,Agreement in Comparative and Superlative Forms,His speech was most more compelling than hers.,His speech was more compelling than hers.
1096,Agreement in Comparative and Superlative Forms,This pizza place has the most best pizza in town.,This pizza place has the best pizza in town.
1097,Agreement in Comparative and Superlative Forms,The most earliest bird catches the worm.,The early bird catches the worm.
1098,Agreement in Comparative and Superlative Forms,This recipe is most simpler than the other one.,This recipe is simpler than the other one.
1099,Agreement in Comparative and Superlative Forms,The exam was most easier than I thought.,The exam was easier than I thought.
1100,Agreement in Comparative and Superlative Forms,That was the most hardest level of the game.,That was the hardest level of the game.
1101,Agreement in Comparative and Superlative Forms,He is the most laziest person I know.,He is the laziest person I know.
1102,Agreement in Comparative and Superlative Forms,This is the most latest news I've heard.,This is the latest news I've heard.
1103,Agreement in Comparative and Superlative Forms,The roller coaster was the most scariest I've ever been on.,The roller coaster was the scariest I've ever been on.
1104,Agreement in Comparative and Superlative Forms,He is the most strongest man in the competition.,He is the strongest man in the competition.
1105,Agreement in Comparative and Superlative Forms,This is the most happiest day of my life.,This is the happiest day of my life.
1106,Agreement in Comparative and Superlative Forms,The novel was most more engaging than the movie.,The novel was more engaging than the movie.
1107,Agreement in Comparative and Superlative Forms,She is the most youngest person in the group.,She is the youngest person in the group.
1108,Agreement in Comparative and Superlative Forms,This is the most farthest I've ever traveled.,This is the farthest I've ever traveled.
1109,Agreement in Comparative and Superlative Forms,The new software is most more user-friendly than the old one.,The new software is more user-friendly than the old one.
1110,Agreement in Comparative and Superlative Forms,The most quickest way to get there is by train.,The quickest way to get there is by train.
1111,Agreement in Comparative and Superlative Forms,He is the most oldest person in the family.,He is the oldest person in the family.
1112,Agreement in Comparative and Superlative Forms,This material is most more durable than the other one.,This material is more durable than the other one.
1113,Agreement in Comparative and Superlative Forms,This is the most hardest puzzle I've ever solved.,This is the hardest puzzle I've ever solved.
1114,Agreement in Comparative and Superlative Forms,He is the most more skillful player on the team.,He is the most skillful player on the team.
1115,Agreement in Comparative and Superlative Forms,The most shortest route is through the park.,The shortest route is through the park.
1116,Agreement in Comparative and Superlative Forms,This is the most more affordable option for us.,This is the more affordable option for us.
1117,Agreement in Comparative and Superlative Forms,The most richest person in the world lives here.,The richest person in the world lives here.
1118,Agreement in Comparative and Superlative Forms,She is the most more experienced candidate for the job.,She is the more experienced candidate for the job.
1119,Agreement in Comparative and Superlative Forms,The most easiest way to learn is by doing.,The easiest way to learn is by doing.
1120,Agreement in Comparative and Superlative Forms,The most highest mountain in the world is Mount Everest.,The highest mountain in the world is Mount Everest.
1121,Agreement in Comparative and Superlative Forms,This is the most more spacious room in the house.,This is the more spacious room in the house.
1122,Agreement in Comparative and Superlative Forms,The most deepest part of the ocean is the Mariana Trench.,The deepest part of the ocean is the Mariana Trench.
1123,Agreement in Comparative and Superlative Forms,He is the most more talented musician I know.,He is the more talented musician I know.
1124,Agreement in Comparative and Superlative Forms,The most narrowest street in the world is in Spain.,The narrowest street in the world is in Spain.
1125,Agreement in Comparative and Superlative Forms,The most more difficult decision I've made was to quit my job.,The more difficult decision I've made was to quit my job.
1126,Agreement in Comparative and Superlative Forms,The most brightest star in the sky is Sirius.,The brightest star in the sky is Sirius.
1127,Agreement in Comparative and Superlative Forms,The most most powerful superhero is Superman.,The most powerful superhero is Superman.
1128,Agreement in Comparative and Superlative Forms,This is the most more efficient way to complete the task.,This is the more efficient way to complete the task.
1129,Parallelism Errors,"She enjoys reading, to watch movies, and cooking.","She enjoys reading, watching movies, and cooking."
1130,Parallelism Errors,"John needs to clean his room, the car, and organizing his desk.","John needs to clean his room, the car, and organize his desk."
1131,Parallelism Errors,"The job requires research skills, good communication, and working independently.","The job requires research skills, good communication, and independent work."
1132,Parallelism Errors,"My favorite activities are hiking, swimming, and to travel.","My favorite activities are hiking, swimming, and traveling."
1133,Parallelism Errors,"The restaurant offers delicious food, cheap prices, and it's very cozy.","The restaurant offers delicious food, cheap prices, and a cozy atmosphere."
1134,Parallelism Errors,"To succeed in business, one must be dedicated, work hard, and you need to network.","To succeed in business, one must be dedicated, work hard, and network."
1135,Parallelism Errors,"The conference will focus on technology, innovations, and discussing the future.","The conference will focus on technology, innovations, and the future."
1136,Parallelism Errors,"The teacher asked the students to write an essay, read a book, and preparing a presentation.","The teacher asked the students to write an essay, read a book, and prepare a presentation."
1137,Parallelism Errors,"The report covers climate change, pollution, and how to preserve natural resources.","The report covers climate change, pollution, and natural resource preservation."
1138,Parallelism Errors,"The painting features vibrant colors, interesting shapes, and it has a unique texture.","The painting features vibrant colors, interesting shapes, and a unique texture."
1139,Parallelism Errors,"The manager expects her team to be punctual, respectful, and that they should be motivated.","The manager expects her team to be punctual, respectful, and motivated."
1140,Parallelism Errors,"She practices yoga, enjoys meditation, and to go running.","She practices yoga, enjoys meditation, and goes running."
1141,Parallelism Errors,"The course includes lectures, hands-on activities, and students will work on projects.","The course includes lectures, hands-on activities, and project work."
1142,Parallelism Errors,"They plan to renovate the kitchen, paint the walls, and the carpet should be replaced.","They plan to renovate the kitchen, paint the walls, and replace the carpet."
1143,Parallelism Errors,"The event will feature live music, delicious food, and you can participate in games.","The event will feature live music, delicious food, and games for participation."
1144,Parallelism Errors,"She is skilled in programming, data analysis, and to create visualizations.","She is skilled in programming, data analysis, and creating visualizations."
1145,Parallelism Errors,"The recipe calls for chopped onions, minced garlic, and you should add salt to taste.","The recipe calls for chopped onions, minced garlic, and salt to taste."
1146,Parallelism Errors,"The book discusses history, politics, and it provides cultural insights.","The book discusses history, politics, and provides cultural insights."
1147,Parallelism Errors,"The movie was funny, exciting, and it kept me engaged.","The movie was funny, exciting, and engaging."
1148,Parallelism Errors,"The athlete's training routine includes lifting weights, cardio exercises, and to stretch.","The athlete's training routine includes lifting weights, cardio exercises, and stretching."
1149,Parallelism Errors,"The store sells clothing, accessories, and they offer alterations.","The store sells clothing, accessories, and offers alterations."
1150,Parallelism Errors,"The program encourages team building, communication, and to solve problems creatively.","The program encourages team building, communication, and creative problem-solving."
1151,Parallelism Errors,"The exhibition showcases paintings, sculptures, and it presents photography.","The exhibition showcases paintings, sculptures, and photography."
1152,Parallelism Errors,"The garden has beautiful flowers, tall trees, and it's a peaceful place.","The garden has beautiful flowers, tall trees, and a peaceful atmosphere."
1153,Parallelism Errors,"The article examines the economy, social issues, and how to improve education.","The article examines the economy, social issues, and educational improvement."
1154,Parallelism Errors,"The band plays rock music, jazz, and they perform acoustic sets.","The band plays rock music, jazz, and performs acoustic sets."
1155,Parallelism Errors,"The smartphone features a large screen, powerful processor, and you can take great photos.","The smartphone features a large screen, powerful processor, and great photo capabilities."
1156,Parallelism Errors,"She likes to dance, sing, and spending time with friends.","She likes to dance, sing, and spend time with friends."
1157,Parallelism Errors,"The workshop teaches writing skills, storytelling, and how to engage your audience.","The workshop teaches writing skills, storytelling, and audience engagement."
1158,Parallelism Errors,"The meeting will involve discussing the budget, reviewing goals, and to plan future events.","The meeting will involve discussing the budget, reviewing goals, and planning future events."
1159,Parallelism Errors,"The vacation package includes flights, accommodation, and you can enjoy guided tours.","The vacation package includes flights, accommodation, and guided tours."
1160,Parallelism Errors,"The artist uses paint, charcoal, and they create collages.","The artist uses paint, charcoal, and creates collages."
1161,Parallelism Errors,"The class covers grammar, vocabulary, and how to improve pronunciation.","The class covers grammar, vocabulary, and pronunciation improvement."
1162,Parallelism Errors,"The store offers a wide selection, affordable prices, and the staff is helpful.","The store offers a wide selection, affordable prices, and helpful staff."
1163,Parallelism Errors,"The website features news articles, opinion pieces, and you can watch videos.","The website features news articles, opinion pieces, and videos."
1164,Parallelism Errors,"The company values innovation, collaboration, and to have a strong work ethic.","The company values innovation, collaboration, and a strong work ethic."
1165,Parallelism Errors,"The event included an opening ceremony, guest speakers, and it had an awards presentation.","The event included an opening ceremony, guest speakers, and an awards presentation."
1166,Parallelism Errors,"The concert was loud, energetic, and it was an unforgettable experience.","The concert was loud, energetic, and unforgettable."
1167,Parallelism Errors,"The new software is user-friendly, efficient, and it helps increase productivity.","The new software is user-friendly, efficient, and increases productivity."
1168,Parallelism Errors,"The house has a spacious living room, modern kitchen, and the backyard is big.","The house has a spacious living room, modern kitchen, and a big backyard."
1169,Parallelism Errors,"The seminar covers time management, goal setting, and to develop leadership skills.","The seminar covers time management, goal setting, and leadership skill development."
1170,Parallelism Errors,"The game requires strategy, quick thinking, and to work as a team.","The game requires strategy, quick thinking, and teamwork."
1171,Parallelism Errors,"The project involves data collection, analysis, and how to make recommendations.","The project involves data collection, analysis, and recommendation making."
1172,Parallelism Errors,"The training focuses on safety, proper technique, and you should build strength gradually.","The training focuses on safety, proper technique, and gradual strength building."
1173,Parallelism Errors,"The magazine features fashion, beauty tips, and it has celebrity interviews.","The magazine features fashion, beauty tips, and celebrity interviews."
1174,Parallelism Errors,"The building has a gym, swimming pool, and the rooftop offers great views.","The building has a gym, swimming pool, and a rooftop with great views."
1175,Parallelism Errors,"The party will have food, drinks, and to play games.","The party will have food, drinks, and games to play."
1176,Parallelism Errors,"The course teaches web design, coding, and you can build your portfolio.","The course teaches web design, coding, and portfolio building."
1177,Parallelism Errors,"The meeting agenda includes introductions, updates, and to discuss future plans.","The meeting agenda includes introductions, updates, and future plan discussions."
1178,Quantifier Errors,Some of people like to play basketball.,Some people like to play basketball.
1179,Quantifier Errors,Many of cars are electric nowadays.,Many cars are electric nowadays.
1180,Quantifier Errors,Few of the students passed the exam.,Few students passed the exam.
1181,Quantifier Errors,I bought all of the apples in the store.,I bought all the apples in the store.
1182,Quantifier Errors,Some of children enjoy playing soccer.,Some children enjoy playing soccer.
1183,Quantifier Errors,Many of the books on this shelf are written by famous authors.,Many books on this shelf are written by famous authors.
1184,Quantifier Errors,Few of dogs are well-trained.,Few dogs are well-trained.
1185,Quantifier Errors,All of the people in this room have smartphones.,All the people in this room have smartphones.
1186,Quantifier Errors,Some of countries have strict visa requirements.,Some countries have strict visa requirements.
1187,Quantifier Errors,Many of the plants in this garden are native to the region.,Many plants in this garden are native to the region.
1188,Quantifier Errors,Few of scientists believe in the flat earth theory.,Few scientists believe in the flat earth theory.
1189,Quantifier Errors,All of the cookies you baked are delicious.,All the cookies you baked are delicious.
1190,Quantifier Errors,Some of movies released this year are worth watching.,Some movies released this year are worth watching.
1191,Quantifier Errors,Many of the buildings in this city are skyscrapers.,Many buildings in this city are skyscrapers.
1192,Quantifier Errors,Few of the ingredients in this dish are spicy.,Few ingredients in this dish are spicy.
1193,Quantifier Errors,All of the computers in this lab are high-performance machines.,All the computers in this lab are high-performance machines.
1194,Quantifier Errors,Some of the guests at the party were wearing costumes.,Some guests at the party were wearing costumes.
1195,Quantifier Errors,Many of the software developers prefer using Linux.,Many software developers prefer using Linux.
1196,Quantifier Errors,Few of the birds in this area are migratory.,Few birds in this area are migratory.
1197,Quantifier Errors,All of the paintings in this gallery are modern art.,All the paintings in this gallery are modern art.
1198,Quantifier Errors,Some of the flights to Europe have layovers.,Some flights to Europe have layovers.
1199,Quantifier Errors,Many of the hotels in this city are fully booked during the summer.,Many hotels in this city are fully booked during the summer.
1200,Quantifier Errors,Few of the employees in this company have worked here for over 20 years.,Few employees in this company have worked here for over 20 years.
1201,Quantifier Errors,All of the courses offered at this university are accredited.,All the courses offered at this university are accredited.
1202,Quantifier Errors,Some of the video games released in the past decade have become classics.,Some video games released in the past decade have become classics.
1203,Quantifier Errors,Many of the songs on this album are catchy.,Many songs on this album are catchy.
1204,Quantifier Errors,Few of the participants in the race finished within the time limit.,Few participants in the race finished within the time limit.
1205,Quantifier Errors,All of the trees in this park are native species.,All the trees in this park are native species.
1206,Quantifier Errors,Some of the dishes on this menu are vegetarian.,Some dishes on this menu are vegetarian.
1207,Quantifier Errors,Many of the animals in this zoo are endangered.,Many animals in this zoo are endangered.
1208,Quantifier Errors,Few of the politicians in this country are honest.,Few politicians in this country are honest.
1209,Quantifier Errors,All of the students in this class are attentive.,All the students in this class are attentive.
1210,Quantifier Errors,Some of the furniture in this store is made of high-quality wood.,Some furniture in this store is made of high-quality wood.
1211,Quantifier Errors,Many of the exercises in this workout routine are challenging.,Many exercises in this workout routine are challenging.
1212,Quantifier Errors,Few of the products in this store are made from sustainable materials.,Few products in this store are made from sustainable materials.
1213,Quantifier Errors,All of the houses in this neighborhood are well-maintained.,All the houses in this neighborhood are well-maintained.
1214,Quantifier Errors,Some of the people on this team are experienced professionals.,Some people on this team are experienced professionals.
1215,Quantifier Errors,Many of the items on this list are essential for a camping trip.,Many items on this list are essential for a camping trip.
1216,Quantifier Errors,Few of the tools in this toolbox are rusty.,Few tools in this toolbox are rusty.
1217,Quantifier Errors,All of the flowers in this garden are perennials.,All the flowers in this garden are perennials.
1218,Quantifier Errors,Some of the members of this club are talented musicians.,Some members of this club are talented musicians.
1219,Quantifier Errors,Many of the snacks in this vending machine are unhealthy.,Many snacks in this vending machine are unhealthy.
1220,Quantifier Errors,Few of the questions on this quiz are difficult.,Few questions on this quiz are difficult.
1221,Quantifier Errors,All of the phones in this store are the latest models.,All the phones in this store are the latest models.
1222,Quantifier Errors,Some of the articles in this magazine are informative.,Some articles in this magazine are informative.
1223,Quantifier Errors,Many of the movies on this streaming platform are critically acclaimed.,Many movies on this streaming platform are critically acclaimed.
1224,Quantifier Errors,Few of the people in this town have ever seen snow.,Few people in this town have ever seen snow.
1225,Quantifier Errors,All of the clothes in this shop are on sale.,All the clothes in this shop are on sale.
1226,Tautology,I need to repeat again what I said earlier.,I need to repeat what I said earlier.
1227,Tautology,She always over-exaggerates her problems all the time.,She always exaggerates her problems.
1228,Tautology,Please RSVP as soon as possible.,Please RSVP.
1229,Tautology,The final outcome will be the ultimate result.,The outcome will be the final result.
1230,Tautology,The reason why he's successful is because he works hard.,He's successful because he works hard.
1231,Tautology,This is an unexpected surprise for me.,This is a surprise for me.
1232,Tautology,The period of time when dinosaurs existed was long ago.,The time when dinosaurs existed was long ago.
1233,Tautology,"In my personal opinion, I believe that we should take action.","In my opinion, we should take action."
1234,Tautology,They combined together their resources to achieve their goal.,They combined their resources to achieve their goal.
1235,Tautology,The pizza is divided into individual slices for each person.,The pizza is divided into slices for each person.
1236,Tautology,He was very honest and truthful when he spoke.,He was very honest when he spoke.
1237,Tautology,I am absolutely certain and sure about my decision.,I am absolutely certain about my decision.
1238,Tautology,The reason for the delay is due to the weather.,The delay is due to the weather.
1239,Tautology,The meeting was held at 3 PM in the afternoon.,The meeting was held at 3 PM.
1240,Tautology,She is a female woman who works as a nurse.,She is a woman who works as a nurse.
1241,Tautology,The baby kitten is so small and tiny.,The baby kitten is so small.
1242,Tautology,The end result of the project was very successful.,The result of the project was very successful.
1243,Tautology,The new innovation in technology has made our lives easier.,The innovation in technology has made our lives easier.
1244,Tautology,He asked me a question and then repeated it again.,He asked me a question and then repeated it.
1245,Tautology,They both met each other at the same time.,They met each other at the same time.
1246,Tautology,The student was very enthusiastic and eager to learn.,The student was very enthusiastic to learn.
1247,Tautology,The exact same thing happened to me last week.,The same thing happened to me last week.
1248,Tautology,The manager carefully analyzed and examined the report.,The manager carefully analyzed the report.
1249,Tautology,I have already previously mentioned this issue.,I have already mentioned this issue.
1250,Tautology,The computer software program is quite complex.,The computer software is quite complex.
1251,Tautology,He made a summary and a brief overview of the meeting.,He made a summary of the meeting.
1252,Tautology,The weather outside is cold and chilly today.,The weather outside is cold today.
1253,Tautology,I will return back to the office after lunch.,I will return to the office after lunch.
1254,Tautology,There are various different ways to approach this problem.,There are various ways to approach this problem.
1255,Tautology,She spoke very quietly and softly during her presentation.,She spoke very quietly during her presentation.
1256,Tautology,He is tall in height and has brown hair.,He is tall and has brown hair.
1257,Tautology,The final conclusion of the experiment was conclusive.,The conclusion of the experiment was conclusive.
1258,Tautology,This is a true fact that cannot be disputed.,This is a fact that cannot be disputed.
1259,Tautology,The CEO presented a brief summary and a concise overview.,The CEO presented a brief summary.
1260,Tautology,He was completely devastated and heartbroken.,He was completely devastated.
1261,Tautology,She was angry and furious at the situation.,She was furious at the situation.
1262,Tautology,The store sells various different kinds of fruits and vegetables.,The store sells various kinds of fruits and vegetables.
1263,Tautology,He climbed up to the top of the mountain peak.,He climbed to the top of the mountain peak.
1264,Tautology,The small little puppy was playing in the yard.,The small puppy was playing in the yard.
1265,Tautology,The book provides a comprehensive overview and a complete summary.,The book provides a comprehensive overview.
1266,Tautology,The movie was very funny and humorous.,The movie was very funny.
1267,Tautology,The criminal was found guilty and convicted of the crime.,The criminal was found guilty of the crime.
1268,Tautology,The room was completely empty and vacant.,The room was completely empty.
1269,Tautology,The painting is an original copy of the famous artist's work.,The painting is an original work of the famous artist.
1270,Tautology,The temperature dropped suddenly and abruptly.,The temperature dropped suddenly.
1271,Tautology,The restaurant serves a wide variety of different dishes.,The restaurant serves a wide variety of dishes.
1272,Tautology,The car accident happened at 7 PM in the evening.,The car accident happened at 7 PM.
1273,Tautology,He is a young boy of 10 years old.,He is a 10-year-old boy.
1274,Tautology,The teacher was very patient and understanding with the students.,The teacher was very patient with the students.
1275,Tautology,The new employee is very competent and capable.,The new employee is very competent.
1276,Inappropriate Register,"Yo, how's it hangin'? I need to know the time of the meeting.","Hello, how are you? I need to know the time of the meeting."
1277,Inappropriate Register,"Kindly provide me with the burger, fries, and a coke, please.","Can I have a burger, fries, and a coke, please?"
1278,Inappropriate Register,The process consists of mixin' the ingredients and bakin' the cake.,The process consists of mixing the ingredients and baking the cake.
1279,Inappropriate Register,"The doctor said, ""You gotta take this medicine twice a day.""","The doctor said, ""You must take this medicine twice a day."""
1280,Inappropriate Register,The manager requested that John submits his report ASAP.,The manager requested that John submit his report as soon as possible.
1281,Inappropriate Register,I'm sorry to inform you that the event's been canceled due to unforeseen circumstances.,I regret to inform you that the event has been canceled due to unforeseen circumstances.
1282,Inappropriate Register,Could you gimme a hand with this heavy box?,Could you give me a hand with this heavy box?
1283,Inappropriate Register,"In conclusion, the experiment's results were totes inconclusive.","In conclusion, the experiment's results were entirely inconclusive."
1284,Inappropriate Register,You shoulda been more careful while handling the equipment.,You should have been more careful while handling the equipment.
1285,Inappropriate Register,"The candidate has demonstrated exceptional skills in leadership and teamwork, ya know.",The candidate has demonstrated exceptional skills in leadership and teamwork.
1286,Inappropriate Register,Please refrain from using slang and abbrevs in your writing.,Please refrain from using slang and abbreviations in your writing.
1287,Inappropriate Register,The dude was caught red-handed stealin' company property.,The individual was caught red-handed stealing company property.
1288,Inappropriate Register,"The venue is awesome, and the food is delish.","The venue is excellent, and the food is delicious."
1289,Inappropriate Register,Kindly refrain from makin' noise during the presentation.,Please refrain from making noise during the presentation.
1290,Inappropriate Register,What's the main purpose of this sophisticated machine?,What is the primary purpose of this sophisticated machine?
1291,Inappropriate Register,I ain't got no idea about how this happened.,I have no idea how this happened.
1292,Inappropriate Register,"The research paper needs some more work, I reckon.",I believe the research paper requires further work.
1293,Inappropriate Register,Lemme know if you need any assistance with the project.,Let me know if you need any assistance with the project.
1294,Inappropriate Register,"The company's sales have increased by 20% since last year, which is pretty dope.","The company's sales have increased by 20% since last year, which is quite impressive."
1295,Inappropriate Register,The new intern is a quick learner and always keen on helpin' others.,The new intern is a quick learner and always eager to help others.
1296,Inappropriate Register,"The concert was lit, and the crowd went wild.","The concert was outstanding, and the crowd went wild."
1297,Inappropriate Register,The board members agreed that the proposed plan was legit.,The board members agreed that the proposed plan was legitimate.
1298,Inappropriate Register,"The experiment's objective was to determine how temperature affects the speed of sound, ya know.",The experiment's objective was to determine how temperature affects the speed of sound.
1299,Inappropriate Register,The CEO urged the employees to be more proactive and step up their game.,The CEO urged the employees to be more proactive and improve their performance.
1300,Inappropriate Register,"The artist's work is a mixture of tradition and modernity, which is super cool.","The artist's work is a mixture of tradition and modernity, which is quite impressive."
1301,Inappropriate Register,The athletes have been trainin' hard for the upcoming competition.,The athletes have been training hard for the upcoming competition.
1302,Inappropriate Register,The new regulations will help in reducin' pollution and conservin' natural resources.,The new regulations will help in reducing pollution and conserving natural resources.
1303,Inappropriate Register,The new software update's gonna fix the bugs and improve performance.,The new software update will fix the bugs and improve performance.
1304,Inappropriate Register,"The teacher asked the students to be quiet and pay attention, y'all.",The teacher asked the students to be quiet and pay attention.
1305,Inappropriate Register,The politician's speech was full of empty promises and a bunch of baloney.,The politician's speech was full of empty promises and insincerity.
1306,Inappropriate Register,The movie was so amazeballs that I watched it twice.,The movie was so amazing that I watched it twice.
1307,Inappropriate Register,The company is workin' on developin' eco-friendly products.,The company is working on developing eco-friendly products.
1308,Inappropriate Register,"The book is an in-depth analysis of human behavior, which is kinda interesting.","The book is an in-depth analysis of human behavior, which is quite interesting."
1309,Inappropriate Register,The government is focused on improvin' public services and infrastructure.,The government is focused on improving public services and infrastructure.
1310,Inappropriate Register,"The employee's complaint was about unfair treatment and a toxic work environment, man.",The employee's complaint was about unfair treatment and a toxic work environment.
1311,Inappropriate Register,"The concert tickets are pricey, but the experience will be worth it, trust me.","The concert tickets are expensive, but the experience will be worth it."
1312,Inappropriate Register,"The team's performance was subpar, and they need to get their act together.","The team's performance was below average, and they need to improve."
1313,Inappropriate Register,The new employee handbook contains important info 'bout company policies and procedures.,The new employee handbook contains important information about company policies and procedures.
1314,Inappropriate Register,"The goal of the project is to create an intuitive and user-friendly interface, ya know.",The goal of the project is to create an intuitive and user-friendly interface.
1315,Inappropriate Register,The scientific community is workin' on finding a cure for the disease.,The scientific community is working on finding a cure for the disease.
1316,Inappropriate Register,The artwork displayed at the exhibition was simply breathtakin'.,The artwork displayed at the exhibition was simply breathtaking.
1317,Inappropriate Register,The committee is responsible for organizin' the event and managin' the budget.,The committee is responsible for organizing the event and managing the budget.
1318,Inappropriate Register,"The new restaurant offers a wide variety of dishes, and the ambiance is pretty chill.","The new restaurant offers a wide variety of dishes, and the ambiance is quite relaxed."
1319,Inappropriate Register,"The study aims to investigate the long-term effects of sleep deprivation on mental health, ya know.",The study aims to investigate the long-term effects of sleep deprivation on mental health.
1320,Inappropriate Register,"The conference is an opportunity for professionals to network and exchange ideas, dude.",The conference is an opportunity for professionals to network and exchange ideas.
